"Years","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"                (T4) Parent of T1  (People)","0","0","0","0","0","0","0","0","7","5","5","5","3","7","10","7","22","18","10","26","17","28","36","18","28"
"                (T5) Unmarried sibling under age 18 of T1  (People)","0","0","0","0","0","0","0","0","5","1","3","8","3","8","14","17","31","13","10","40","23","34","26","14","29"
"                (T6) Adult/minor child of derivative beneficiary of T1 (People)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","18","11","15","24","17"
"                (U1) Victim of criminal activity (People)","0","0","0","0","0","0","0","0","0","0","0","0","8","84","132","170","169","149","121","146","129","128","127","79","138"
"                (U2) Spouse of U1 (People)","0","0","0","0","0","0","0","0","0","0","0","0","0","41","61","103","116","147","126","113","122","174","164","71","96"
"                (U3) Child of U1 (People)","0","0","0","0","0","0","0","0","0","0","0","0","5","510","1071","1194","1391","1756","1419","1204","1226","1521","1292","544","894"
"                (U4) Parent of U1 under 21 years of age (People)","0","0","0","0","0","0","0","0","0","0","0","0","0","15","32","45","42","44","42","40","40","36","23","6","17"
"                (U5) Unmarried Sibling under age 18 of U1 under 21 years of age (People)","0","0","0","0","0","0","0","0","0","0","0","0","0","13","72","83","55","63","39","60","40","25","33","8","20"

"Sources:"
,"Agency","Source","Table","Url","Direct Link","Updated","Update Schedule"
,"State Department","Nonimmigrant Visa Issuances","","https://travel.state.gov/content/travel/en/legal/visa-law0/visa-statistics/nonimmigrant-visa-statistics.html","","2020","Yearly"
"Exported on: 04/02/2023"
